orig.ident,wsnn_res.0.8,count
CE021_entry,6,712
CE021_entry,8,239
CE021_entry,17,32
CE021_entry,18,187
CE025_entry,6,452
CE025_entry,8,270
CE025_entry,17,19
CE025_entry,18,131
CE025_entry,31,1
CE037_entry,6,249
CE037_entry,8,131
CE037_entry,17,58
CE037_entry,18,96
CE037_entry,31,9
CP002_entry,6,365
CP002_entry,8,315
CP002_entry,17,129
CP002_entry,18,123
CP002_entry,31,5
CP003_entry,6,259
CP003_entry,8,195
CP003_entry,17,117
CP003_entry,18,65
CP003_entry,31,3
CP006_entry,6,840
CP006_entry,8,588
CP006_entry,17,67
CP006_entry,18,132
CP006_entry,31,1
CP011_entry,6,209
CP011_entry,8,171
CP011_entry,17,174
CP011_entry,18,77
CP011_entry,31,3
CP013_entry,6,677
CP013_entry,8,269
CP013_entry,17,124
CP013_entry,18,168
CP013_entry,31,4
CP016_entry,6,191
CP016_entry,8,139
CP016_entry,17,96
CP016_entry,18,79
CP017_entry,6,94
CP017_entry,8,142
CP017_entry,17,163
CP017_entry,18,37
CP017_entry,31,3
CP018_entry,6,213
CP018_entry,8,75
CP018_entry,17,9
CP018_entry,18,18
CP018_entry,31,1
CP022_entry,6,359
CP022_entry,8,382
CP022_entry,17,297
CP022_entry,18,62
CP022_entry,31,11
CP042_entry,6,144
CP042_entry,8,34
CP042_entry,17,86
CP042_entry,18,67
CP042_entry,31,1
SAAH29_entry,6,134
SAAH29_entry,8,269
SAAH29_entry,17,190
SAAH29_entry,18,42
SATY021_entry,6,44
SATY021_entry,8,18
SATY021_entry,17,17
SATY021_entry,18,13
